Time,M,B,A
0.0,0.1,0.1,20.0
1e-06,0.09999995556847223,0.0999999964467,20.006193553766497
2e-06,0.09999991113696426,0.09999999289340013,20.012387686960565
3e-06,0.09999986670547609,0.09999998934010038,20.018582398815916
4e-06,0.09999982227400772,0.09999998578680075,20.02477768856597
4.9999999999999996e-06,0.09999977784255916,0.09999998223350125,20.03097355544385
6e-06,0.0999997334111304,0.09999997868020188,20.03716999868239
7e-06,0.09999968897972145,0.09999997512690265,20.043367017514132
8e-06,0.0999996445483323,0.09999997157360353,20.04956461117132
9e-06,0.09999960011696295,0.09999996802030454,20.055762778885907
9.999999999999999e-06,0.0999995556856134,0.09999996446700568,20.061961519889557
1.1e-05,0.09999951125428366,0.09999996091370694,20.06816083341364
1.2e-05,0.09999946682297371,0.09999995736040833,20.07436071868924
1.3e-05,0.09999942239168357,0.09999995380710984,20.08056117494714
1.4e-05,0.09999937796041322,0.09999995025381148,20.086762201417844
1.4999999999999999e-05,0.09999933352916268,0.09999994670051324,20.092963797331564
1.6e-05,0.09999928909793195,0.09999994314721514,20.099165961918214
1.7e-05,0.09999924466672101,0.09999993959391716,20.105368694407428
1.8e-05,0.09999920023552988,0.09999993604061931,20.111571994028544
1.8999999999999998e-05,0.09999915580435856,0.09999993248732159,20.117775860010617
1.9999999999999998e-05,0.09999911137320704,0.09999992893402398,20.123980291582413
2.1e-05,0.09999906694207532,0.09999992538072651,20.13018528797241
2.2e-05,0.0999990225109634,0.09999992182742916,20.136390848408794
2.3e-05,0.09999897807987129,0.09999991827413193,20.14259697211947
2.4e-05,0.09999893364879898,0.09999991472083483,20.148803658332053
2.4999999999999998e-05,0.09999888921774648,0.09999991116753786,20.155010906273873
2.6e-05,0.09999884478671378,0.09999990761424102,20.161218715171973
2.7e-05,0.09999880035570088,0.0999999040609443,20.167427084253113
2.8e-05,0.09999875592470779,0.09999990050764772,20.173636012743764
2.9e-05,0.0999987114937345,0.09999989695435126,20.179845499870115
2.9999999999999997e-05,0.09999866706278102,0.09999989340105492,20.18605554485807
3.1e-05,0.09999862263184733,0.0999998898477587,20.19226614693325
3.2e-05,0.09999857820093346,0.09999988629446262,20.19847730532099
3.2999999999999996e-05,0.09999853377003938,0.09999988274116665,20.204689019246338
3.4e-05,0.0999984893391651,0.09999987918787082,20.21090128793407
3.5e-05,0.09999844490831061,0.0999998756345751,20.21711411060867
3.6e-05,0.09999840047747593,0.09999987208127953,20.22332748649434
3.7e-05,0.09999835604666106,0.09999986852798408,20.22954141481501
3.7999999999999995e-05,0.09999831161586599,0.09999986497468875,20.235755894794316
3.9e-05,0.09999826718509072,0.09999986142139355,20.241970925655618
3.9999999999999996e-05,0.09999822275433526,0.09999985786809848,20.248186506621995
4.1e-05,0.0999981783235996,0.09999985431480353,20.254402636916247
4.2e-05,0.09999813389288374,0.0999998507615087,20.260619315760895
4.2999999999999995e-05,0.09999808946218769,0.099999847208214,20.266836542378176
4.4e-05,0.09999804503151144,0.09999984365491943,20.27305431599005
4.4999999999999996e-05,0.099998000600855,0.09999984010162498,20.2792726358182
4.6e-05,0.09999795617021835,0.09999983654833067,20.285491501084024
4.7e-05,0.09999791173960151,0.09999983299503648,20.291710911008654
4.8e-05,0.09999786730900448,0.09999982944174242,20.297930864812933
4.9e-05,0.09999782287842725,0.09999982588844848,20.30415136171743
4.9999999999999996e-05,0.0999977784478698,0.09999982233515467,20.310372400942438
5.1e-05,0.09999773401733217,0.09999981878186098,20.31659398170797
5.2e-05,0.09999768958681433,0.09999981522856742,20.32281610323377
5.3e-05,0.0999976451563163,0.09999981167527398,20.3290387647393
5.4e-05,0.09999760072583808,0.09999980812198067,20.335261965443745
5.4999999999999995e-05,0.09999755629537965,0.09999980456868748,20.341485704566022
5.6e-05,0.09999751186494103,0.09999980101539442,20.34770998132477
5.6999999999999996e-05,0.09999746743452222,0.0999997974621015,20.353934794938347
5.8e-05,0.0999974230041232,0.0999997939088087,20.360160144624846
5.9e-05,0.099997378573744,0.09999979035551602,20.366386029602083
5.9999999999999995e-05,0.09999733414338459,0.09999978680222348,20.3726124490876
6.1e-05,0.09999728971304499,0.09999978324893105,20.378839402298674
6.2e-05,0.09999724528272519,0.09999977969563875,20.385066888452293
6.3e-05,0.0999972008524252,0.09999977614234658,20.391294906765186
6.4e-05,0.099997156422145,0.09999977258905453,20.397523456453808
6.5e-05,0.0999971119918846,0.0999997690357626,20.40375253673434
6.599999999999999e-05,0.099997067561644,0.0999997654824708,20.409982146822696
6.7e-05,0.09999702313142321,0.09999976192917914,20.416212285934513
6.8e-05,0.09999697870122222,0.0999997583758876,20.422442953285163
6.9e-05,0.09999693427104103,0.0999997548225962,20.428674148089748
7e-05,0.09999688984087965,0.09999975126930491,20.434905869563096
7.099999999999999e-05,0.09999684541073807,0.09999974771601375,20.441138116919774
7.2e-05,0.0999968009806163,0.09999974416272271,20.44737088937407
7.3e-05,0.09999675655051432,0.0999997406094318,20.453604186140016
7.4e-05,0.09999671212043215,0.09999973705614101,20.45983800643136
7.5e-05,0.09999666769036979,0.09999973350285035,20.4660723494616
7.599999999999999e-05,0.09999662326032722,0.09999972994955982,20.47230721444396
7.7e-05,0.09999657883030447,0.09999972639626942,20.478542600591386
7.8e-05,0.0999965344003015,0.09999972284297914,20.484778507116577
7.9e-05,0.09999648997031833,0.099999719289689,20.491014933231952
7.999999999999999e-05,0.09999644554035497,0.09999971573639897,20.49725187814967
8.099999999999999e-05,0.09999640111041141,0.09999971218310907,20.50348934108162
