Time,M,B,A
0.0,0.01,0.01,20.0
0.001,0.009995681472571124,0.00999964467,26.193553766497462
0.002,0.009991364869909923,0.009999455352625941,32.55803732517016
0.003,0.009987050191158527,0.009999266041978896,38.25158214592477
0.004,0.009982737435459452,0.009999076738058625,42.62440806639488
0.005,0.009978426601955592,0.009998887440864891,45.52471621443215
0.006,0.009974117689790224,0.009998698150397455,47.2302343188594
0.007,0.009969810698107009,0.009998508866656076,48.1522944222338
0.008,0.009965505626049986,0.009998319589640517,48.62591905194722
0.009000000000000001,0.009961202472763579,0.009998130319350538,48.86242519190878
0.01,0.009956901237392592,0.0099979410557859,48.978805305114676
0.011,0.00995260191908221,0.009997751798946365,49.03565328105109
0.012,0.009948304516977998,0.009997562548831693,49.06332091262205
0.013000000000000001,0.009944009030225905,0.009997373305441646,49.07676268242679
0.014,0.009939715457972257,0.009997184068775984,49.08328744461912
0.015,0.009935423799363763,0.009996994838834468,49.086453292719064
0.016,0.009931134053547511,0.009996805615616859,49.087989064516435
0.017,0.009926846219670969,0.009996616399122919,49.08873400268581
0.018000000000000002,0.009922560296881985,0.00999642718935241,49.089095323408095
0.019,0.009918276284328788,0.00999623798630509,49.08927057233836
0.02,0.009913994181159987,0.009996048789980722,49.08935557117174
0.021,0.009909713986524567,0.009995859600379067,49.08939679688419
0.022,0.009905435699571898,0.009995670417499887,49.08941679192145
0.023,0.009901159319451722,0.009995481241342943,49.08942648977687
0.024,0.009896884845314166,0.009995292071907995,49.089431193361044
0.025,0.009892612276309732,0.009995102909194803,49.089433474658954
0.026000000000000002,0.009888341611589305,0.009994913753203131,49.089434581117175
0.027,0.009884072850304144,0.009994724603932739,49.089435117763315
0.028,0.009879805991605886,0.009994535461383387,49.08943537804343
0.029,0.009875541034646551,0.009994346325554838,49.08943550428255
0.03,0.009871277978578534,0.009994157196446852,49.0894355655101
0.031,0.009867016822554605,0.00999396807405919,49.08943559520623
0.032,0.009862757565727916,0.009993778958391614,49.089435609609225
0.033,0.009858500207251994,0.009993589849443886,49.08943561659486
0.034,0.009854244746280745,0.009993400747215766,49.08943561998298
0.035,0.009849991181968451,0.009993211651707015,49.089435621626265
0.036000000000000004,0.009845739513469771,0.009993022562917394,49.08943562242328
0.037,0.009841489739939742,0.009992833480846666,49.08943562280984
0.038,0.009837241860533774,0.009992644405494591,49.08943562299732
0.039,0.009832995874407658,0.00999245533686093,49.08943562308826
0.04,0.009828751780717558,0.009992266274945446,49.08943562313236
0.041,0.009824509578620017,0.009992077219747899,49.089435623153754
0.042,0.009820269267271949,0.00999188817126805,49.08943562316413
0.043000000000000003,0.00981603084583065,0.00999169912950566,49.08943562316916
0.044,0.009811794313453788,0.00999151009446049,49.0894356231716
0.045,0.009807559669299405,0.009991321066132304,49.08943562317278
0.046,0.009803326912525922,0.00999113204452086,49.08943562317335
0.047,0.009799096042292134,0.009990943029625924,49.08943562317363
0.048,0.009794867057757208,0.009990754021447251,49.08943562317377
0.049,0.00979063995808069,0.009990565019984608,49.089435623173834
0.05,0.009786414742422497,0.009990376025237753,49.08943562317387
0.051000000000000004,0.009782191409942922,0.009990187037206449,49.089435623173884
0.052000000000000005,0.009777969959802634,0.009989998055890455,49.089435623173884
0.053,0.009773750391162675,0.009989809081289535,49.089435623173884
0.054,0.009769532703184458,0.00998962011340345,49.089435623173884
0.055,0.009765316895029772,0.00998943115223196,49.089435623173884
0.056,0.009761102965860781,0.009989242197774827,49.089435623173884
0.057,0.00975689091484002,0.009989053250031812,49.089435623173884
0.058,0.0097526807411304,0.00998886430900268,49.089435623173884
0.059000000000000004,0.009748472443895201,0.009988675374687188,49.089435623173884
0.06,0.009744266022298081,0.0099884864470851,49.089435623173884
0.061,0.009740061475503067,0.009988297526196175,49.089435623173884
0.062,0.009735858802674559,0.009988108612020177,49.089435623173884
0.063,0.00973165800297733,0.009987919704556866,49.089435623173884
0.064,0.009727459075576528,0.009987730803806003,49.089435623173884
0.065,0.009723262019637668,0.00998754190976735,49.089435623173884
0.066,0.00971906683432664,0.009987353022440672,49.089435623173884
0.067,0.009714873518809704,0.009987164141825725,49.089435623173884
0.068,0.009710682072253495,0.009986975267922273,49.089435623173884
0.069,0.009706492493825014,0.009986786400730079,49.089435623173884
0.07,0.00970230478269164,0.009986597540248901,49.089435623173884
0.07100000000000001,0.00969811893802112,0.009986408686478503,49.089435623173884
0.07200000000000001,0.009693934958981567,0.009986219839418647,49.089435623173884
0.073,0.009689752844741472,0.009986030999069093,49.089435623173884
0.074,0.009685572594469696,0.009985842165429602,49.089435623173884
0.075,0.009681394207335464,0.009985653338499939,49.089435623173884
0.076,0.009677217682508378,0.009985464518279861,49.089435623173884
0.077,0.009673043019158408,0.009985275704769134,49.089435623173884
0.078,0.009668870216455893,0.009985086897967517,49.089435623173884
0.079,0.009664699273571543,0.009984898097874772,49.089435623173884
0.08,0.009660530189676435,0.00998470930449066,49.089435623173884
0.081,0.00965636296394202,0.009984520517814944,49.089435623173884
0.082,0.009652197595540115,0.009984331737847385,49.089435623173884
0.083,0.009648034083642907,0.009984142964587744,49.089435623173884
0.084,0.00964387242742295,0.009983954198035784,49.089435623173884
0.085,0.009639712626053173,0.009983765438191265,49.089435623173884
0.08600000000000001,0.009635554678706864,0.00998357668505395,49.089435623173884
0.08700000000000001,0.009631398584557688,0.0099833879386236,49.089435623173884
0.088,0.009627244342779675,0.009983199198899978,49.089435623173884
0.089,0.009623091952547222,0.009983010465882843,49.089435623173884
0.09,0.009618941413035095,0.009982821739571959,49.089435623173884
